iter	MultiClass
124	0.7770704276
125	0.7763044974
126	0.7752624118
127	0.7748050862
128	0.7726265811
129	0.7709168059
130	0.7683655831
131	0.7668985314
132	0.7648638254
133	0.763068239
134	0.7613751926
135	0.7606590368
136	0.7596369628
137	0.7588798676
138	0.7572009625
139	0.7565359376
140	0.7543823339
141	0.7538681288
142	0.7522702133
143	0.7514031801
144	0.7507556672
145	0.749128509
146	0.7484309095
147	0.7465549108
148	0.7448123678
149	0.7438395055
150	0.74356499
151	0.7423212257
152	0.7414353601
153	0.7399238755
154	0.7393487365
155	0.7381212713
156	0.7370990697
157	0.7359573267
158	0.7353582222
159	0.7350337085
160	0.7341653826
161	0.7325046324
162	0.7312717578
163	0.7297991548
164	0.729164031
165	0.7281440502
166	0.7279521695
167	0.7275514908
168	0.7264886815
169	0.7249693826
170	0.7243673364
171	0.7233623637
172	0.7231628364
173	0.7229568341
174	0.7224362868
175	0.7221181776
176	0.7209911644
177	0.7206364508
178	0.7202474977
179	0.7190116485
180	0.7187775478
181	0.7177961474
182	0.7168200072
183	0.716030065
184	0.7152361584
185	0.714957402
186	0.7135766213
187	0.7130716922
188	0.7112899474
189	0.7101151656
190	0.7098826604
191	0.7090701422
192	0.7082029327
193	0.7077573182
194	0.7072911916
195	0.7068650058
196	0.7056239664
197	0.7036997642
198	0.7030925381
199	0.7023997321
200	0.7016584944
201	0.7009849918
202	0.7004132008
203	0.6998059214
204	0.6992668267
205	0.6978038479
206	0.6966427034
207	0.6956934944
208	0.6940643823
209	0.693067277
210	0.6921411701
211	0.6910015908
212	0.6900659956
213	0.6898319937
214	0.6882560074
215	0.6868941532
216	0.686686902
217	0.6865570354
218	0.6858562144
219	0.6851138797
220	0.6843228889
221	0.6834544344
222	0.6828629468
223	0.6810086867
224	0.6806270751
225	0.6796631689
226	0.6787403611
227	0.6773735111
228	0.6765886718
229	0.6762789112
230	0.6754681379
231	0.6742105666
232	0.6731262345
233	0.6722814358
234	0.6720514169
235	0.6710829668
236	0.6699579185
237	0.669731983
238	0.668929067
239	0.6680007237
240	0.6676365741
241	0.666309875
242	0.6652432789
243	0.6646586053
244	0.6643573336
245	0.6636787956
246	0.6629070689
247	0.6619913654
248	0.661451673
249	0.6600505928
250	0.6585781871
251	0.6578535889
252	0.6577847799
253	0.6565317898
254	0.6556381774
255	0.6551827258
256	0.654877061
257	0.6537029354
258	0.6532376813
259	0.6516787985
260	0.6505168625
261	0.6495657521
262	0.6486169394
263	0.6481192737
264	0.6479690561
265	0.6465203593
266	0.6454666535
267	0.6449656065
268	0.644476208
269	0.6438815509
270	0.6436693746
271	0.6422600903
272	0.6411496192
273	0.6409373013
274	0.6404777916
275	0.6401626959
276	0.6389720812
277	0.6387952566
278	0.63820684
279	0.6378508319
280	0.6374059591
281	0.6363687202
282	0.6357026386
283	0.6351917299
284	0.6346014353
285	0.633882877
286	0.6330283284
287	0.6328882811
288	0.6327271989
289	0.6315611968
290	0.6310133497
291	0.630538185
292	0.6296528099
293	0.6293536168
294	0.6291945737
295	0.6289459617
296	0.6287002525
297	0.6285217995
298	0.6272341323
299	0.6267710475
300	0.6261760661
301	0.6258378108
302	0.6252322738
303	0.6251135128
304	0.6249716299
305	0.6240444438
306	0.6234422912
307	0.6230622886
308	0.6221762766
309	0.6218109789
310	0.6205489468
311	0.6204419697
312	0.6199856118
313	0.6189586578
314	0.6183016976
315	0.6177290144
316	0.6168799759
317	0.6166638544
318	0.6157211942
319	0.6154912484
320	0.615195167
321	0.6144019591
322	0.6138276037
323	0.6125956333
324	0.6124756126
325	0.6121570727
326	0.6118280684
327	0.6103978536
328	0.6099019705
329	0.6095668108
330	0.6088242837
331	0.6083545685
332	0.6080875492
333	0.607805777
334	0.6072325089
335	0.6064582351
336	0.606354446
337	0.6059868767
338	0.6051375894
339	0.6046748141
340	0.6042736651
341	0.6030785197
342	0.6030027699
343	0.602944388
344	0.6025557469
345	0.602373216
346	0.6019731791
347	0.601825903
348	0.601412409
349	0.6006878614
350	0.6004673014
351	0.5999622075
352	0.599714498
353	0.598652325
354	0.5977380637
355	0.5974308575
356	0.5969160593
357	0.5963438564
358	0.5958198365
359	0.5956909096
360	0.5946706381
361	0.5944624584
362	0.5942549569
363	0.5931306374
364	0.5927723123
365	0.5924061939
366	0.5918767027
367	0.5916528849
368	0.5908670868
369	0.5904967907
370	0.5903168668
371	0.5898700959
372	0.5895400605
373	0.5893420895
374	0.588638615
375	0.5885448739
376	0.5881535859
377	0.5872165388
378	0.5868767628
379	0.5867691329
380	0.586182916
381	0.5854822966
382	0.5846979447
383	0.5840120614
384	0.5839672754
385	0.5831183401
386	0.5830528779
387	0.5826560749
388	0.5824424946
389	0.5817516802
390	0.5816372475
391	0.5813595604
392	0.5802156136
393	0.5797590295
394	0.5793832992
395	0.5784926008
396	0.5781206352
397	0.5778536001
398	0.5775873884
399	0.5773115176
